ID,Name,Description,Category
GC05a,Prepositional Coding of Goal,"The strategy for marking a noun phrase as a goal was investigated. <span
id=""_Hlk51060338"" class=""anchor""></span>The positive value of this
feature reflects the presence of a marker preceding the noun phrase,
whether clitical or adpositional. In Wakhi of Pakistan, this semantic
role is coded by a preposition, as shown in (1).

(1) <span id=""_Ref12281344"" class=""anchor""></span>Wakhi, Pakistan
\[wbl(p)\] (Iranian)

| a.  | ja                                                           | ðaj-e                                                 | sinduq-ve                                                | **tra ** | bozor    | jut                                                    |
|-----|--------------------------------------------------------------|-------------------------------------------------------|----------------------------------------------------------|----------|----------|--------------------------------------------------------|
|     | that                                                         | man-<span style=""font-variant:small-caps;"">obl</span> | box-<span style=""font-variant:small-caps;"">obl.pl</span> | \[to     | market\] | take.<span style=""font-variant:small-caps;"">pst</span> |
|     | ‘The man carried the boxes to the market.’ (WBLp-Val-AK:038) |

| b.  | ʂiliɖʐin                                          | **tra ** | bozor    | reɣd-e                                                   |     |     |
|-----|---------------------------------------------------|----------|----------|----------------------------------------------------------|-----|-----|
|     | woman                                             | \[to     | market\] | go.<span style=""font-variant:small-caps;"">pst-3sg</span> |     |     |
|     | ‘The woman went to the market.’ (WBLp-Val-AK:054) |

This is minority feature and limited to a few of the Iranian languages
in the north. In those languages it is sometimes occurring in addition
to other coding, such as suffixing or a postposition.",Grammatical categories
GC05b,Postpositional Coding of Goal,"The strategy for marking a noun phrase as a goal was investigated. The
positive value of this feature reflects the presence of a marker
following the noun phrase, whether clitical or adpositional. In Kalkoti,
this semantic role is coded by a postposition, as shown in (1).

(1) <span id=""_Ref12281344"" class=""anchor""></span>Kalkoti
\[xka\] (Indo-Aryan)

| a.  | meːɕaːl-um                                                  | sunuːq | baːzaːr  | **par ** | giː                                                   | geː                                                      |
|-----|-------------------------------------------------------------|--------|----------|----------|-------------------------------------------------------|----------------------------------------------------------|
|     | man.<span style=""font-variant:small-caps;"">pl-obl.pl</span> | box    | \[market | to\]     | take.<span style=""font-variant:small-caps;"">cv</span> | go.<span style=""font-variant:small-caps;"">pst.mpl</span> |
|     | ‘The men carried the boxes to the market.’ (XKA-Val-JK:038) |

| b.  | treːr                                            | baːzaːr  | **par ** | gi                                                       |     |     |
|-----|--------------------------------------------------|----------|----------|----------------------------------------------------------|-----|-----|
|     | woman                                            | \[market | to\]     | go.<span style=""font-variant:small-caps;"">pst.fsg</span> |     |     |
|     | ‘The woman went to the market.’ (XKA-Val-JK:054) |

This is a feature of a majority of the sample languages, either as the
only explicit marking or in addition to other coding, such as
prepositions or suffixes.",Grammatical categories
GC06a,Prepositional Coding of Location,"The strategy for marking a noun phrase as a location was investigated.
<span id=""_Hlk51060338"" class=""anchor""></span>The positive value of this
feature reflects the presence of a marker preceding the noun phrase,
whether clitical or adpositional. In Pashto of Pakistan, this semantic
role is coded by a preposition, as shown in (1). For a location at, or
near, a surface, as in (1a), the preposition *pə* is sufficient, while
for the location inside something, as in (1b), a combination of the
preposition *pə* and a postposition *kiː* is used.

(1) <span id=""_Ref12281344"" class=""anchor""></span>Pashto, Pakistan
\[pbu(p)\] (Iranian)

| a.  | maːʃuːm-aːn                                            | **pə ** | beːntʃ  | naːst  | diː                                                      |     |
|-----|--------------------------------------------------------|---------|---------|--------|----------------------------------------------------------|-----|
|     | child-<span style=""font-variant:small-caps;"">pl</span> | \[at    | bench\] | seated | be.<span style=""font-variant:small-caps;"">prs.3pl</span> |     |
|     | ‘The children sit on the bench.’ (PBUp-Val-KK:051)     |

| b.  | buːɖaː-gaːn                                                 | **pə ** | kəliː   | kiː  | uːs-iː                                                   |     |
|-----|-------------------------------------------------------------|---------|---------|------|----------------------------------------------------------|-----|
|     | old.person-<span style=""font-variant:small-caps;"">pl</span> | \[at    | village | in\] | live.<span style=""font-variant:small-caps;"">prs-3</span> |     |
|     | ‘The old people live in town.’ (PBUp-Val-KK:056)            |

This is a minority feature and, in this data sample, limited to Iranian
languages (primarily in the north). In those languages it is sometimes
present in addition to other coding, such as suffixing or a
postposition.",Grammatical categories
GC06b,Postpositional Coding of Location,"The strategy for marking a noun phrase as a location was investigated.
The positive value of this feature reflects the presence of a marker
following the noun phrase, whether clitical or adpositional. In Alishang
Pashai, this semantic role is coded by postpositions, as shown in (1).

(1) <span id=""_Ref12281344"" class=""anchor""></span>Alishang Pashai
\[glh(ag)\] (Indo-Aryan)

| a.  | baːlkulan                                                | tɕoːkiː | **ɕəraː ** | niːgiːz                                                        |     |     |
|-----|----------------------------------------------------------|---------|------------|----------------------------------------------------------------|-----|-----|
|     | boy.<span style=""font-variant:small-caps;"">pl</span>     | \[bench | on\]       | sit.down.<span style=""font-variant:small-caps;"">pst.3pl</span> |     |     |
|     | ‘The children sat down on the bench.’ (GLHag-Val-SF:051) |

| b.  | kuːnuː                                            | adam-aːn                                             | χaːr   | **kutɕaː ** | ʑun  | kət-un                                                   |
|-----|---------------------------------------------------|------------------------------------------------------|--------|-------------|------|----------------------------------------------------------|
|     | old                                               | man-<span style=""font-variant:small-caps;"">pl</span> | \[city | in\]        | life | do.<span style=""font-variant:small-caps;"">prs-3pl</span> |
|     | ‘The old people live in town.’ (GLHag-Val-SF:056) |

This is a feature of a majority of the sample languages, either as the
only explicit marking or in addition to other coding, such as
prepositions or suffixes. Languages that lack this feature are found in
the region’s northwest.",Grammatical categories
GC07a,Possessive Prefixes,"The presence of prefixes indexing the inalienable possessor of a
possessee was investigated. This is a feature of Hunza Burushaski, as
shown in (1). These are used with a restricted class of possessee nouns
such as kinship terms and body parts, and are not equal to independent
possessive pronouns, the latter which can be used in possessive
constructions with virtually any noun as a possessee. Some of these
nouns would not normally occur as a bare stem, i.e. without a possessive
prefix attached to them (indexing for person, animacy and number).

(1) <span id=""_Ref12281344"" class=""anchor""></span>Hunza Burushaski
\[bsk(h)\] (isolate)

| a.  | a-mupuʂ                                                     |     |     |
|-----|-------------------------------------------------------------|-----|-----|
|     | <span style=""font-variant:small-caps;"">1sg.poss</span>-nose |     |     |
|     | ‘my nose’ (BSKh-40list-SK:025)                              |

| b.  | a-pi                                                               |     |     |
|-----|--------------------------------------------------------------------|-----|-----|
|     | <span style=""font-variant:small-caps;"">1sg.poss</span>-grandmother |     |     |
|     | ‘my grandmother’ (BSKh-Kin-SK:014)                                 |

| c.  | mo-pi-mu-r                                                                                                                 |     |     |
|-----|----------------------------------------------------------------------------------------------------------------------------|-----|-----|
|     | <span style=""font-variant:small-caps;"">3hfsg.poss</span>-grandmother-<span style=""font-variant:small-caps;"">obl-dat</span> |     |     |
|     | ‘to her grandmother’ (BSKh-Val-SK:037)                                                                                     |

| d.  | gu-ɕaːk-aʈ-e                                                                                                |     |     |
|-----|-------------------------------------------------------------------------------------------------------------|-----|-----|
|     | <span style=""font-variant:small-caps;"">2sg</span>-arm-<span style=""font-variant:small-caps;"">ins-ess</span> |     |     |
|     | ‘on your arm’ (BSKh-Dem-SK:003a)                                                                            |

This is a feature found only in the two Burushaski varieties in this
sample. However, see the feature Possessive Suffixes for similar
functions expressed with suffixes instead of prefixes.",Grammatical categories
GC07b,Possessive Suffixes,"The presence of suffixes indexing the inalienable possessor of a
possessee was investigated. This is a feature of Alasai Pashai, as shown
in (1). These are mainly used with a restricted class of possessee nouns
such as kinship terms and body parts, and can be used instead of or in
addition to independent possessive pronouns. Some of these nouns
wouldn’t normally occur as a bare stem, i.e. without a possessive suffix
attached to them (indexing for person, and possibly number). The exact
distribution and inventory of such suffixes is still to be fully
investigated.

(1) <span id=""_Ref12281344"" class=""anchor""></span>Alasai Pashai \[psh
(ai)\] (Indo-Aryan)

| a.  | hast-**eːm**                                                  | Cf. | haːst |
|-----|---------------------------------------------------------------|-----|-------|
|     | hand-<span style=""font-variant:small-caps;"">1sg.poss</span>   |     | hand  |
|     | ‘my hand’ (PSHai-Val-KD:059) ‘(a) hand’ (PSHai-40list-KD:013) |

| b.  | aːst-əs-**əj**                                                  | ɕira |     |
|-----|-----------------------------------------------------------------|------|-----|
|     | hand-<span style=""font-variant:small-caps;"">obl-2sg.poss</span> | on   |     |
|     | ‘on your arm’ (PSHai-Dem-KD:003a)                               |

| c.  | aːj-s-**aː**                                                      | Cf. | aːjə   |
|-----|-------------------------------------------------------------------|-----|--------|
|     | mother-<span style=""font-variant:small-caps;"">obl-3sg.poss</span> |     | mother |
|     | ‘her mother’ (PSHai-Val-KD:013) ‘(a) mother’ (PSHai-Kin-KD:002)   |

This is a feature found to a varying extent in approximately a third of
the sample, primarily in the western part of the region. See the feature
Possessive Prefixes for similar functions expressed with prefixes
instead of suffixes.",Grammatical categories
PH01a,Retroflexion,"The use of retroflex sounds to obtain (minimal) contrasts in the lexicon
was investigated. Although a distinct retroflex place of articulation
was detected in most cases, it was indeed the contrast between
alveolar-dental sounds and retroflex (or retracted) sounds with the same
manner of articulation that was taken as diagnostic rather than the
presence of a very specific tongue shape. For some of the languages, and
for some of the subsets, the contrast is probably better described as
apical (or subapical) vs laminal pronunciation.

The inventory of Khowar has eight retroflex (or apical post-alveolar)
consonants (plosive, affricate and fricative), contrasting on the one
had with dental/alveolar and on the other with laminal post-alveolar
consonants. Some examples of words in Khowar containing retroflex sounds
are displayed in ‎(1).

| **Khowar \[khw\]** | **Dental/alveolar** | **Retroflex (apical)** | **Post-alveolar (laminal)** |
|--------------------|---------------------|------------------------|-----------------------------|
| Plosive            | t d                 | ʈ ɖ                    |                             |
|                    | tʰ                  | ʈʰ                     |                             |
| Affricate          | ts dz               | ʈʂ ɖʐ                  | tɕ dʑ                       |
|                    | tsʰ                 | ʈʂʰ                    | tɕʰ                         |
| Fricative          |                     | ʂ ʐ                    | ɕ ʑ                         |

(1) <span id=""_Ref12343426"" class=""anchor""></span>Khowar
\[khw\] (Indo-Aryan)

| a.  | /ʈip/   | ‘full’ (KHW-40list-AA:012) |
|-----|---------|----------------------------|
| b.  | /ʈʂʰan/ | ‘leaf’ (KHW-40list-AA:018) |
| c.  | /uʂak/  | ‘cold’ (KHW-Val-AA:060)    |

Retroflexion is a strongly areal feature, present in nearly all of the
sample languages. Turkic is the only phylogenetic grouping in which this
feature is entirely absent.",Phonology
PH01b,Retroflex Plosives,"The use of retroflex (or apical post-alveolar) plosive consonants
contrasting with dental/alveolar plosives was investigated. In Ashkun, a
dental voiceless plosive (1a) contrasts with a retroflex voiceless
plosive (1b), and a dental voiced plosive (1c) contrasts with a
retroflex voiced plosive (1d).

(1) <span id=""_Ref12343426"" class=""anchor""></span>Ashkun
\[ask\] (Nuristani)

| a.  | /zat /   | ‘night’ (ASK-40list-WS:024)    |
|-----|----------|--------------------------------|
| b.  | /vaːʈ /  | ‘stone’ (ASK-40list-WS:032)    |
| c.  | /awndej/ | ‘grandfather’ (ASK-Kin-WS:013) |
| d.  | /muɖuk / | ‘frog’ (ASK-Val-WS:034)        |

The presence of retroflex plosives is a strongly areal feature, absent
only in the inventories of the Turkic languages, some of the Iranian
languages and possibly in one of the Sino-Tibetan languages.",Phonology
PH01c,Retroflex Fricatives,"The use of retroflex (or apical post-alveolar) fricative consonants
contrasting with dental/alveolar fricatives, on the one hand, and with
laminal post-alveolar/palatal fricatives, on the other, was
investigated. In many of the languages that have retroflex fricatives,
they tend to form a subset together with retroflex affricates with whom
they often stand in an allophonic relationship. In Bateri, dental
fricatives contrast with retroflex fricatives and with laminal
post-alveolar fricatives, as shown in (1).

(1) <span id=""_Ref12343426"" class=""anchor""></span>Bateri
\[btv\] (Indo-Aryan)

| a.  | /syr/  | ‘sun’ (BTV-40list-MB:033)        |
|-----|--------|----------------------------------|
| b.  | /ɕoːr/ | ‘father-in-law’ (BTV-Kin-MB:050) |
| c.  | /ʂu/   | ‘six’ (BTV-Num-MB:006)           |

The presence of retroflex fricatives is a majority feature in the area,
found in a little over half of the sample languages. The presence of
this feature is particularly prominent at the geographical core of the
Hindu Kush, shared by Indo-Aryan, Nuristani, Iranian and Burushaski
alike.",Phonology
PH02a,Dental Affricates,"The use of dental affricates contrasting with affricates with other
places of articulation as well as with other dental sounds was
investigated. The inventory of Wakhi of Pakistan contains a voiced
dental affricate, as well as a palatal (or alveolo-palatal) affricate, a
voiced dental fricative and a voiced interdental fricative, as shown in
(1).

\(1) Wakhi, Pakistan \[wbl(p)\] (Iranian)

| a.  | /dzaq/   | ‘small’ (WBLp-Kin-AK:010)     |
|-----|----------|-------------------------------|
| b.  | /dɕɨmat/ | ‘wife’ (WBLp-Kin-SU:038)      |
| c.  | /zik/    | ‘tongue’ (WBLp-40list-AK:034) |
| d.  | /ðas/    | ‘ten’ (WBLp-Num-AK:010)       |

The presence of dental affricates is a strongly areal features, absent
only in about a fifth of the sample languages. The feature is present in
languages across five of the phylogenetic groupings, while absent in
both of the Turkic sample languages.",Phonology
PH02b,Retroflex Affricates,"The use of retroflex affricates contrasting with affricates with other
places of articulation as well as with other retroflex sounds was
investigated. All of the sample languages that have retroflex affricates
in their inventory also have dental affricates, while the reverse does
not hold true. The inventory of Hunza Burushaski contains voiceless
retroflex affricates, voiceless retroflex fricatives, voiceless dental
affricates, as well as voiceless palatal (or alveolo-palatal)
affricates, as shown in (1).

(1) <span id=""_Ref12343426"" class=""anchor""></span>Hunza Burushaski
\[bsk(h)\] (isolate)

| a.  | /ʈʂop/   | ‘jumping’ (BSKh-Val-SK:052) |
|-----|----------|-----------------------------|
| b.  | /ʂimi/   | ‘ate’ (BSKh-Val-SK:001)     |
| c.  | /tsaːp/  | ‘touch’ (BSKh-Val-SK:029)   |
| d.  | /huntɕo/ | ‘nine’ (BSKh-Num-SK:009)    |

While the presence of retroflex affricates is not a majority feature in
the region in general, it is a strongly subareal feature. All of the
languages spoken at the geographical core of the Hindu Kush have
retroflex affricates, whether Indo-Aryan, Iranian, Nuristani or
Burushaski.",Phonology
PH03a,(C)VC Syllable Structure,"The occurrence of a single consonant in the position after a vowel was
investigated. This can, but does not have to, co-occur with the presence
of a single onset consonant. Thus, both VC and CVC structures are
examples of the presence of this feature. In Torwali, these structures
occur, as displayed in (1).

(1) <span id=""_Ref12343426"" class=""anchor""></span>Torwali
\[trw\] (Indo-Aryan)

| a.  | /aːʈ/      | ‘eight’ (TRW-Num-UD:008)      |
|-----|------------|-------------------------------|
| b.  | /paːʂ/     | ‘leaf’ (TRW-40list-UD:018)    |
| c.  | /dʑa.maːʂ/ | ‘son-in-law’ (TRW-Kin-UD:045) |

In the region, (C)VC Syllable Structure is found in all of the sample
languages.",Phonology
PH03b,CCV Syllable Structure,"The occurrence of two consonants before a vowel was investigated. This
can, but does not have to, co-occur with the presence of one or more
coda consonants. Such sequences of two consonants are exemplified with
words from Sanglechi in (1).

(1) <span id=""_Ref12343426"" class=""anchor""></span>Sanglechi
\[sgy\] (Iranian)

| a.  | /fsɛːk/  | ‘nose’ (SGY-40list-GM:025) |
|-----|----------|----------------------------|
| b.  | /krɑːst/ | ‘skin’ (SGY-40list-GM:030) |
| c.  | /vruːd/  | ‘brother’ (SGY-Kin-GM:007) |

In the region, CCV Syllable Structures are found in approximately two
thirds of the sample languages.",Phonology
PH03c,CCCV Syllable Structure,"The occurrence of three consonants before a vowel was investigated. This
can, but does not have to, co-occur with the presence of one or more
coda consonants. Such sequences of three consonants are exemplified with
words from Balti in (1).

(1) <span id=""_Ref12343426"" class=""anchor""></span>Balti
\[bft\] (Sino-Tibetan)

| a.  | /strĩːmoː/ | ‘sister’ (BFT-Kin-HS:008)   |
|-----|------------|-----------------------------|
| b.  | /rdwaː/    | ‘stone’ (BFT-40list-HS:032) |

In the region, CCCV Syllable Structures are with relative certainty
found in only a handful of the sample languages, among them the
Sino-Tibetan.",Phonology
PH03d,(C)VCC Syllable Structure,"The occurrence of two consonants in the position after a vowel was
investigated. This can, but does not have to, co-occur with the presence
of one or more onset consonants. The presence of this feature is
exemplified by the words from Ishkashimi displayed in (1).

(1) <span id=""_Ref12343426"" class=""anchor""></span>Ishkashimi
\[isk\] (Iranian)

| a.  | /ovd/   | ‘seven’ (ISK-Num-MA:007)    |
|-----|---------|-----------------------------|
| b.  | /uduχt/ | ‘daughter’ (ISK-Kin-MA:005) |
| c.  | /krust/ | ‘skin’ (ISK-40list-SO:030)  |

In the region, (C)VCC Syllable Structure is found in more than two
thirds of the sample languages.",Phonology
PH04,Lateral Fricatives,"The occurrence of voiceless lateral fricatives was investigated. In
languages where it occurs, it appears to contrast phonologically with
voiceless lateral approxmants. Gawarbati of Pakistan is one of those
languages. See examples in (1).

(1) <span id=""_Ref12343426"" class=""anchor""></span>Gawarbati, Pakistan
\[gwt(p)\] (Indo-Aryan)

| a.  | /ɬe/  | ‘three’ (GWTp-Num-AS:003)   |
|-----|-------|-----------------------------|
| b.  | /puɬ/ | ‘son’ (GWTp-Kin-AS:004)     |
| c.  | /ɡaɬ/ | ‘skin’ (GWTp-40list-AS:030) |

The presence of lateral fricatives is a minority feature in the area,
but its presence is still considerably higher than its corresponding
global frequency. It is found in Sino-Tibetan as well as among the
region’s Iranian and Indo-Aryan languages.",Phonology
PH05a,Voiceless Aspiration,"The use of aspiration to contrast voiceless sounds was investigated. In
languages that display this feature there is a subset of aspirated
sounds that contrasts at several places of articulation with the
corresponding unaspirated sounds. The inventory (see table below) of
Shina of Gilgit exemplifies such a system in which voiceless plosives
and affricates display aspiration contrasts. Some examples of aspirated
plosives and affricates are given in (1).

| **Gilgiti Shina \[scl(p)\]**     | **Bilabial** | **Dental** | **Retroflex** | **Post-alveolar** | **Velar** |
|----------------------------------|--------------|------------|---------------|-------------------|-----------|
| Unaspirated voiceless plosives   | p            | t          | ʈ             |                   | k         |
| Aspirated voiceless plosives     | pʰ           | tʰ         | ʈʰ            |                   | kʰ        |
| Voiced plosives                  | b            | d          | ɖ             |                   | ɡ         |
| Unaspirated voiceless affricates |              | ts         | ʈʂ            | tɕ                |           |
| Aspirated voiceless affricates   |              | tsʰ        | ʈʂʰ           | tɕʰ               |           |
| Voiced affricates                |              |            |               | dʑ                |           |

(1) <span id=""_Ref12343426"" class=""anchor""></span>Gilgiti Shina
\[scl(p)\] (Indo-Aryan)

| a.  | /pʰiːpi / | ‘paternal aunt’ (SCLp-Kin-SL:024)  |
|-----|-----------|------------------------------------|
| b.  | /tɕʰumu/  | ‘fish’ (SCLp-40list-SL:011)        |
| c.  | /aʈʂʰiː/  | ‘eye’ (SCLp-40list-SL:009)         |
| d.  | /dʑaʈʰoː/ | ‘brother-in-law’ (SCLp-Kin-SL:054) |

Voiceless aspiration contrast is present in approximately half of the
regional sample. It is a partly sub-areal feature, primarily associated
with the Eastern part of the region; partly a phylogenetic feature,
present primarily (but not uniformly so) in Indo-Aryan, Sino-Tibetan and
Burushaski, largely absent in Iranian, and completely absent in
Nuristani and Turkic.",Phonology
PH05b,Voiced Aspiration,"The use of aspiration to contrast voiced sounds was investigated. In
languages that display this feature there is a subset of aspirated
sounds that contrasts at several places of articulation with the
corresponding unaspirated sounds. Indus Kohistani exemplifies such a
system in which several voiced consonants display aspiration contrasts.
Some examples of aspirated voiced consonants and corresponding
unaspirated voiced consonants are given in (1).

(1) <span id=""_Ref12343426"" class=""anchor""></span>Indus Kohistani
\[mvy\] (Indo-Aryan)

| a.  | /bʰiːjũː/ | ‘sister’ (MVY-Kin-HU:008)     |
|-----|-----------|-------------------------------|
|     | /biː/     | ‘seed’ (MVY-Val-HU:071)       |
| b.  | /ɡʰaĩː/   | ‘big (f)’ (MVY-Kin-HU:025)    |
|     | /ɡiːl/    | ‘song’ (MVY-Val-HU:053)       |
| c.  | /nʰaːlũː/ | ‘to see’ (MVY-40list-HU:029)  |
|     | /naũ/     | ‘nine’ (MVY-Num-HU:009)       |
| d.  | /ʐʰaː/    | ‘brother’ (MVY-Kin-HU:007)    |
|     | /ʐamʈʂuː/ | ‘son-in-law’ (MVY-Kin-HU:045) |

It should be pointed out that the treatment of aspirated series is an
issue which is far from straightforward. In some cases, the distribution
and manifestation of aspiration co-occurring with voicing has led
linguists analyzing individual languages (including Indus Kohistani) to
apply a suprasegmental or a cluster analysis rather than positing an
entire subset of aspirated voiced units.

Voiced aspiration contrast is a minority feature in the region, possibly
present in only a few of the varieties. All of those, except Iranian
Parachi, are Indo-Aryan languages spoken in the southern and central
parts of the region.",Phonology
PH06,Uvulars,"The presence of consonants with a uvular place of articulation was
investigated. The uvulars that are found in the sample are almost
without exception either plosives or fricatives. Only uvular consonants
that are used in basic vocabulary have been taken into account, thus
excluding such sounds occurring in vocabulary that can be considered
relatively recent loans. In some cases, it has been difficult to
determine with certainty whether the pronunciation is uvular rather than
velar. A generous interpretation has been applied. A language that has a
uvular voiceless plosive /q/ as well as a voiced /ʁ/ and a voiceless
fricative /χ/ is Darwazi, as exemplified in (1).

(1) <span id=""_Ref12343426"" class=""anchor""></span>Darwazi
\[prs(d)\] (Iranian)

| a.  | /astaʁu/ | ‘bone’ (PRSd-40list-ML:002) |
|-----|----------|-----------------------------|
| b.  | /ʃoːχ/   | ‘horn’ (PRSd-40list-ML:015) |
| c.  | /ləq/    | ‘full’ (PRSd-40list-ML:012) |

Uvular consonants are present in a little more than half of the sample
languages. All six phylogenetic groups are represented. A slight
north/south divide can be traced, with what seems like a preference for
uvulars in the north as compared to the south.",Phonology
PH07,Nasalized Vowels,"The presence of contrastive vowel nasalization was investigated,
exemplified by words with oral vs nasalized vowels in Gojri of Pakistan,
as seen in (1).

(1) <span id=""_Ref12343426"" class=""anchor""></span>Gojri, Pakistan
\[gju(p)\] (Indo-Aryan)

| a.  | /noː/   | ‘nine’ (GJUp-Num-RN:009)            |
|-----|---------|-------------------------------------|
|     | /nũː/   | ‘daughter-in-law’ (GJUp-Kin-RN:044) |
| b.  | /naː/   | ‘to, for’ (GJUp-Val-RN:035)         |
|     | /nãː/   | ‘name’ (GJUp-40list-RN:022)         |
| c.  | /tijiː/ | ‘daughter’ (GJUp-Kin-RN:005)        |
|     | /dĩː/   | ‘sun’ (GJUp-40list-RN:033)          |

Constrastive vowel nasalization occurs in at least a third of the sample
languages, but its occurrence is both geographically and
phylogenetically restricted. It is typical of Indo-Aryan languages in
the south and east. In our sample, it is not evidenced in Turkic,
Iranian or Sino-Tibetan.",Phonology
PH08a,Small Consonant Inventory,"The size of the consonant inventory of each language was investigated.
The categories labelled “small” (6-14 consonants) and “moderately small”
(15-18 consonants) in WALS, were collapsed and any inventory size
comprising 18 or less consonants were considered small. <span
id=""_Hlk50484060"" class=""anchor""></span>In order to operationalize the
analysis, only the 40-item list was used as a basis. The resulting value
for an individual language should therefore be regarded as relative in
relation to the sample in general (see Large Consonant Inventory), and
not as an absolute statement about inventory size. Taking more lexical
data into account may very well render a different result. An inventory,
using the above-mentioned method, representative of the value small is
that of Kyrgyz, as displayed in the table, with its 17 consonants.

| **Kyrgyz \[kir\] (Turkic)** | **Labial** | **Dental/alveolar** | **Post-alveolar** | **Velar/uvular** |
|-----------------------------|------------|---------------------|-------------------|------------------|
| Plosive                     | p, b       | t, d                |                   | k, ɡ, q          |
| Affricate                   |            |                     | tɕ, dʑ            |                  |
| Fricative                   |            | s, z                | ɕ                 |                  |
| Nasal                       | m          | n                   |                   |                  |
| Lateral/flap                |            | l, r                |                   |                  |
| Approximant                 |            |                     | j                 |                  |

<span id=""_Hlk50485920"" class=""anchor""></span>Only two of the sample
languages were recorded as using 18 or less consonants in the 40-item
list, Turkic Kyrgyz and Nuristani Eastern Kati.",Phonology
PH08b,Large Consonant Inventory,"The size of the consonant inventory of each language was investigated.
The categories labelled “moderately large” (26-33) and “large” (34 or
more) in WALS, were collapsed and any inventory size comprising 26 or
more consonants were considered large. In order to operationalize the
analysis, only the 40-item list was used as a basis. The resulting value
for an individual language should therefore be regarded as relative in
relation to the sample in general (see Small Consonant Inventory), and
not as an absolute statement about inventory size. Cross-checking the
results with earlier phonological analyses, suggests that many of the
inventories coming out with a negative value, in fact would be
classified as large if taking more lexical data into account. An
inventory, using the above-mentioned method, representative of the value
large is that of Pakistani Wakhi, as displayed in the table, with its 31
consonants. (The apparent gaps, e.g. missing voiceless counterparts of
voiced consonants, suggest that a few additional consonants occur in the
language, as also confirmed in earlier analysis, in which as many as
35-36 consonant phonemes have been posited.)

| **Wakhi, Pakistan \[wbl(p)\] (Iranian)** | **Labial** | **Dental** | **Retroflex** | **Palatal** | **Velar** | **Post-velar** |
|------------------------------------------|------------|------------|---------------|-------------|-----------|----------------|
| Plosive                                  | p, b       | t, d       | ɖ             |             | k, ɡ      | q              |
| Affricate                                |            |            | ʈʂ            | tɕ, dʑ      |           |                |
| Fricative                                | f          | s, z, ð    | ʂ, ʐ          | ɕ           | x, ɣ      | χ, ʁ, h        |
| Nasal                                    | m          | n          |               |             | ŋ         |                |
| Lateral/flap                             |            | l, r       |               |             |           |                |
| Approximant                              | w          | ɬ          |               | j           |           |                |

Approximately a third of the sample languages were recorded as using 26
or more consonants in the 40-item list. There is a tendency for those
languages to be spoken in the eastern half of the region.",Phonology
WO01a,Verb Object Word Order,"For this feature, systematic occurrences of a verb preceding a lexical
(non-pronominal) object in a transitive clause were noted. In the
sample, Kashmiri of India is such a language (although clauses with OV
order occur too), as shown in (1).

(1) <span id=""_Ref531867975"" class=""anchor""></span>Kashmiri, India
\[kas(i)\] (Indo-Aryan)

| ləɖk-an                                                        | moːr                                                   | loːri                                                   | sɨːtʲ | sɔrupʰ |
|----------------------------------------------------------------|--------------------------------------------------------|---------------------------------------------------------|-------|--------|
| boy-<span style=""font-variant:small-caps;"">erg</span>          | kill.<span style=""font-variant:small-caps;"">msg</span> | stick.<span style=""font-variant:small-caps;"">abl</span> | with  | snake  |
|                                                                | VERB                                                   |                                                         |       | OBJECT |
| ‘The boy killed the snake with a stick.’ (KASi-Val-HK:026/028) |

In the region, VO Word Order is a feature only occurring in the two
varieties of Kashmiri included in the sample.",Word order
WO01b,Object Verb Word Order,"For this feature systematic occurrences of a verb following a lexical
(nonpronominal) object in a transitive clause were noted. The Kalkoti
sentence in (1) illustrates this word order.

(1) <span id=""_Ref531867975"" class=""anchor""></span>Kalkoti
\[xka\] (Indo-Aryan)

| triaːl-um                                               | maːs   | patɕʰ-aːl                                              |     |     |
|---------------------------------------------------------|--------|--------------------------------------------------------|-----|-----|
| women-<span style=""font-variant:small-caps;"">obl</span> | meat   | cook-<span style=""font-variant:small-caps;"">pfv</span> |     |     |
|                                                         | OBJECT | VERB                                                   |     |     |
| ‘The women cooked the meat.’ (XKA-Val-JK:079)           |

In the region, OV Word Order is found in all of the sample languages
(although it is not the dominant one in the two varieties of Kashmiri).",Word order
WO02a,Adpositions,"This feature is defined as the occurrence of a distinct category of
syntactic (vis-à-vis morphological) elements that combine with nouns or
pronouns to express spatial or temporal relations. Admittedly, the
distinction between such a category and that of morphological case
marking is not altogether straightforward. In some of the region’s
languages, the adposition determines the grammatical case of its
(nominal or pronominal) complement, as in Pashto of Pakistan. The use of
the postposition *ta* ‘to’ requires the preceding complement to be coded
in the oblique case, as shown in (1).

(1) <span id=""_Ref531867975"" class=""anchor""></span>Pashto, Pakistan
\[pbu(p)\] (Iranian)

| muŋ                                                    | maːʃuːm-aːn-oː                                             | **ta ** | kitaːb-uːna                                           | wərkɽ-əl                                                                                                 |
|--------------------------------------------------------|------------------------------------------------------------|---------|-------------------------------------------------------|----------------------------------------------------------------------------------------------------------|
| <span style=""font-variant:small-caps;"">1pl</span>      | child-<span style=""font-variant:small-caps;"">pl-obl</span> | to      | book-<span style=""font-variant:small-caps;"">pl</span> | give.<span style=""font-variant:small-caps;"">pfv</span>-<span style=""font-variant:small-caps;"">pst</span> |
| ‘We gave the books to the children.’ (PBUp-Val-KK:036) |

In the region, there are no languages that clearly lack this property.",Word order
